serve_num,player_id,swing_type,ball_player_distance,ball_speed,ball_hit_s,hit_x,hit_y,timestamp,bounce_x,bounce_y,serve_d
1,22,fh_overhead,0.30865,128.055,54.48,6.977,24.467,55.00,3.93289,5.4109,TRUE
2,22,fh_overhead,1.09415,129.267,73.12,4.384,24.424,73.64,10.53414,5.79614,TRUE
3,22,fh_overhead,0.26080,114.861,83.36,4.483,24.453,83.96,8.46027,6.15403,TRUE
4,22,fh_overhead,0.27975,130.846,104.56,6.727,24.442,105.08,3.99398,4.57712,TRUE
5,22,fh_overhead,0.26557,125.134,120.28,6.741,24.460,120.80,3.62451,6.14672,TRUE
6,22,fh_overhead,0.35233,105.200,142.40,4.318,24.427,142.92,8.40774,10.16086,TRUE
7,22,fh_overhead,0.16828,120.136,148.52,4.358,24.473,149.08,9.17556,6.41198,TRUE
8,22,fh_overhead,0.27173,75.956,178.44,6.869,24.452,179.12,5.12730,10.92993,TRUE
9,22,fh_overhead,0.21357,75.455,195.04,6.705,24.467,195.76,3.95578,10.50728,TRUE
10,22,fh_overhead,0.31178,,224.96,4.537,24.456,225.44,7.09903,4.91155,TRUE
11,22,fh_overhead,0.27632,,272.76,6.699,24.466,273.24,3.96497,5.7672,TRUE
12,22,fh_overhead,0.44589,125.953,286.84,4.377,24.446,287.36,8.97420,6.24624,TRUE
13,22,fh_overhead,0.28285,,323.04,6.485,24.448,323.48,5.10346,3.68961,TRUE
14,22,fh_overhead,0.36486,117.526,347.08,4.337,24.451,347.72,9.42782,4.63414,TRUE
15,115,fh_overhead,0.59797,132.454,378.08,3.818,-2.171,378.56,8.15946,16.38850,TRUE
16,115,fh_overhead,0.61268,126.601,386.60,4.093,-2.529,387.16,9.43217,17.01409,TRUE
17,115,fh_overhead,0.62183,125.540,410.08,7.090,-1.932,410.60,2.16466,16.08009,TRUE
18,115,fh_overhead,0.30693,132.055,434.20,4.325,-2.245,434.76,10.76994,18.61872,TRUE
19,115,fh_overhead,0.40489,,458.08,6.836,-2.014,,,,TRUE
20,115,fh_overhead,0.72280,105.554,463.52,6.958,-1.999,464.16,1.90758,15.23898,TRUE
21,115,fh_overhead,0.36630,,497.40,3.913,-2.175,,,,TRUE
22,115,fh_overhead,0.53997,123.824,502.72,4.171,-2.582,503.28,9.21685,16.30753,TRUE
23,115,fh_overhead,0.54144,,549.84,6.921,-1.613,,,,TRUE
24,115,fh_overhead,0.34664,,584.92,3.763,-2.076,585.40,10.16175,17.45093,TRUE
